home_team,away_team,toss_won,decision,winner,venue_name,home_captain,away_captain,reserve_umpire,away_team_win_percentage,home_playx1_1,home_playx1_2,home_playx1_3,home_playx1_4,home_playx1_5,home_playx1_6,home_playx1_7,home_playx1_8,home_playx1_9,home_playx1_10,home_playx1_11,away_playx1_1,away_playx1_2,away_playx1_3,away_playx1_4,away_playx1_5,away_playx1_6,away_playx1_7,away_playx1_8,away_playx1_9,away_playx1_10,away_playx1_11,home_key_batsman_1,home_key_batsman_2,home_key_bowler_1,home_key_bowler_2,away_key_batsman_1,away_key_batsman_2,away_key_bowler_1,away_key_bowler_2
KXIP,CSK,5,0,0,8,KL Rahul,MS Dhoni,61,28,KL Rahul (BT),Mayank Agarwal (BT),Mandeep Singh (AR),Nicholas Pooran (WK),Glenn Maxwell (AR),Sarfaraz Khan (BT),Chris Jordan (BL),Harpreet Brar (BL),Ravi Bishnoi (BL),Mohammed Shami (BL),Sheldon Cottrell (BL),Shane Watson (AR),Faf du Plessis (BT),Ambati Rayudu (BT),Kedar Jadhav (AR),MS Dhoni (WK),Ravindra Jadeja (AR),Sam Curran (AR),Dwayne Bravo (AR),Piyush Chawla (AR),Shardul Thakur (BL),Deepak Chahar (BL),KL Rahul,Nicholas Pooran,Ravi Bishnoi,Mohammed Shami,Faf du Plessis,Shane Watson,Shardul Thakur,Piyush Chawla
RCB,DC,10,1,1,8,Virat Kohli,Shreyas Iyer,5,25,Devdutt Padikkal (BT),Aaron Finch (BT),Virat Kohli (BT),AB de Villiers (WK),Moeen Ali (AR),Washington Sundar (AR),Shivam Dube (AR),Isuru Udana (AR),Navdeep Saini (BL),Mohammed Siraj (BL),Yuzvendra Chahal (BL),Prithvi Shaw (BT),Shikhar Dhawan (BT),Shreyas Iyer (BT),Rishabh Pant (WK),Marcus Stoinis (BT),Shimron Hetmyer (BT),Axar Patel (AR),Ravichandran Ashwin (AR),Kagiso Rabada (BL),Anrich Nortje (BL),Harshal Patel (BL),Virat Kohli,Washington Sundar,Mohammed Siraj,Moeen Ali,Marcus Stoinis,Prithvi Shaw,Kagiso Rabada,Axar Patel
MI,RR,8,0,8,29,Rohit Sharma,Steven Smith,53,25,Quinton de Kock (WK),Rohit Sharma (BT),Suryakumar Yadav (BT),Ishan Kishan (BT),Krunal Pandya (AR),Hardik Pandya (AR),Kieron Pollard (AR),James Pattinson (BL),Rahul Chahar (BL),Trent Boult (BL),Jasprit Bumrah (BL),Yashasvi Jaiswal (BT),Jos Buttler (WK),Steven Smith (BT),Sanju Samson (BT),Mahipal Lomror (AR),Tom Curran (AR),Rahul Tewatia (BL),Jofra Archer (BL),Shreyas Gopal (AR),Ankit Rajpoot (BL),Kartik Tyagi (BL),Suryakumar Yadav,Rohit Sharma,Jasprit Bumrah,James Pattinson,Jos Buttler,Jofra Archer,Shreyas Gopal,Jofra Archer
KKR,CSK,4,0,4,29,Dinesh Karthik,MS Dhoni,18,37,Rahul Tripathi (BT),Shubman Gill (BT),Nitish Rana (BT),Sunil Narine (AR),Eoin Morgan (BT),Andre Russell (AR),Dinesh Karthik (WK),Pat Cummins (BL),Kamlesh Nagarkoti (BL),Shivam Mavi (AR),Varun Chakravarthy (BL),Shane Watson (AR),Faf du Plessis (BT),Ambati Rayudu (BT),MS Dhoni (WK),Sam Curran (AR),Kedar Jadhav (AR),Ravindra Jadeja (AR),Dwayne Bravo (AR),Shardul Thakur (BL),Deepak Chahar (BL),Karn Sharma (BL),Rahul Tripathi,Pat Cummins,Kamlesh Nagarkoti,Andre Russell,Shane Watson,Ambati Rayudu,Dwayne Bravo,Karn Sharma
SRH,KXIP,13,0,14,8,David Warner,KL Rahul,5,30,David Warner (BT),Jonny Bairstow (WK),Abdul Samad (BT),Manish Pandey (BT),Kane Williamson (BT),Priyam Garg (BT),Abhishek Sharma (BL),Rashid Khan (BL),Sandeep Sharma (BL),Khaleel Ahmed (BL),T Natarajan (BL),KL Rahul (BT),Mayank Agarwal (BT),Prabhsimran Singh (WK),Nicholas Pooran (BT),Glenn Maxwell (AR),Mandeep Singh (AR),Mujeeb Ur Rahman (BL),Ravi Bishnoi (BL),Mohammed Shami (BL),Sheldon Cottrell (BL),Arshdeep Singh (BL),Jonny Bairstow,David Warner,T Natarajan,Khaleel Ahmed,Nicholas Pooran,KL Rahul,Ravi Bishnoi,Arshdeep Singh
RR,DC,12,1,1,28,Steven Smith,Shreyas Iyer,18,18,Yashasvi Jaiswal (BT),Jos Buttler (WK),Steven Smith (BT),Sanju Samson (BT),Mahipal Lomror (AR),Rahul Tewatia (BL),Andrew Tye (BL),Jofra Archer (BL),Shreyas Gopal (AR),Kartik Tyagi (BL),Varun Aaron (BL),Prithvi Shaw (BT),Shikhar Dhawan (BT),Shreyas Iyer (BT),Rishabh Pant (WK),Marcus Stoinis (BT),Shimron Hetmyer (BT),Harshal Patel (BL),Axar Patel (AR),Kagiso Rabada (BL),Ravichandran Ashwin (AR),Anrich Nortje (BL),Rahul Tewatia,Yashasvi Jaiswal,Jofra Archer,Rahul Tewatia,Shimron Hetmyer,Marcus Stoinis,Kagiso Rabada,Marcus Stoinis
KXIP,KKR,4,0,4,29,KL Rahul,Dinesh Karthik,31,47,KL Rahul (BT),Mayank Agarwal (BT),Nicholas Pooran (BT),Prabhsimran Singh (WK),Glenn Maxwell (AR),Mandeep Singh (AR),Chris Jordan (BL),Ravi Bishnoi (BL),Mohammed Shami (BL),Arshdeep Singh (BL),Mujeeb Ur Rahman (BL),Rahul Tripathi (BT),Shubman Gill (BT),Nitish Rana (BT),Eoin Morgan (BT),Dinesh Karthik (WK),Andre Russell (AR),Pat Cummins (BL),Sunil Narine (AR),Kamlesh Nagarkoti (BL),Prasidh Krishna (BL),Varun Chakravarthy (BL),KL Rahul,Mayank Agarwal,Ravi Bishnoi,Arshdeep Singh,Dinesh Karthik,Shubman Gill,Prasidh Krishna,Sunil Narine
CSK,RCB,10,0,11,8,MS Dhoni,Virat Kohli,61,11,Shane Watson (AR),Faf du Plessis (BT),Ambati Rayudu (BT),Narayan Jagadeesan (BT),MS Dhoni (WK),Sam Curran (AR),Ravindra Jadeja (AR),Dwayne Bravo (AR),Deepak Chahar (BL),Shardul Thakur (BL),Karn Sharma (BL),Devdutt Padikkal (BT),Aaron Finch (BT),Virat Kohli (BT),AB de Villiers (WK),Washington Sundar (AR),Shivam Dube (AR),Gurkeerat Singh Mann (BT),Chris Morris (AR),Isuru Udana (AR),Navdeep Saini (BL),Yuzvendra Chahal (BL),Ambati Rayudu,Narayan Jagadeesan,Shardul Thakur,Deepak Chahar,Virat Kohli,Devdutt Padikkal,Chris Morris,Washington Sundar
SRH,RR,13,0,13,8,David Warner,Steven Smith,5,36,David Warner (BT),Jonny Bairstow (WK),Manish Pandey (BT),Kane Williamson (BT),Priyam Garg (BT),Vijay Shankar (AR),Abhishek Sharma (BL),Rashid Khan (BL),Sandeep Sharma (BL),Khaleel Ahmed (BL),T Natarajan (BL),Ben Stokes (AR),Jos Buttler (WK),Steven Smith (BT),Sanju Samson (BT),Robin Uthappa (BT),Riyan Parag (BT),Rahul Tewatia (BL),Jofra Archer (BL),Shreyas Gopal (AR),Jaydev Unadkat (BL),Kartik Tyagi (BL),Manish Pandey,David Warner,Rashid Khan,Khaleel Ahmed,Rahul Tewatia,Riyan Parag,Jofra Archer,Jaydev Unadkat
MI,DC,1,0,8,29,Rohit Sharma,Shreyas Iyer,53,14,Rohit Sharma (BT),Quinton de Kock (WK),Suryakumar Yadav (BT),Ishan Kishan (BT),Hardik Pandya (AR),Kieron Pollard (AR),Krunal Pandya (AR),James Pattinson (BL),Rahul Chahar (BL),Trent Boult (BL),Jasprit Bumrah (BL),Prithvi Shaw (BT),Shikhar Dhawan (BT),Ajinkya Rahane (BT),Shreyas Iyer (BT),Marcus Stoinis (BT),Alex Carey (WK),Axar Patel (AR),Ravichandran Ashwin (AR),Harshal Patel (BL),Kagiso Rabada (BL),Anrich Nortje (BL),Suryakumar Yadav,Quinton de Kock,Krunal Pandya,Trent Boult,Shikhar Dhawan,Shreyas Iyer,Kagiso Rabada,Marcus Stoinis
RCB,KKR,10,0,11,28,Virat Kohli,Dinesh Karthik,57,35,Aaron Finch (BT),Devdutt Padikkal (BT),Virat Kohli (BT),AB de Villiers (WK),Chris Morris (AR),Washington Sundar (AR),Shivam Dube (AR),Isuru Udana (AR),Navdeep Saini (BL),Yuzvendra Chahal (BL),Mohammed Siraj (BL),Tom Banton (BT),Shubman Gill (BT),Nitish Rana (BT),Eoin Morgan (BT),Dinesh Karthik (WK),Andre Russell (AR),Rahul Tripathi (BT),Pat Cummins (BL),Kamlesh Nagarkoti (BL),Varun Chakravarthy (BL),Prasidh Krishna (BL),AB de Villiers,Aaron Finch,Chris Morris,Yuzvendra Chahal,Shubman Gill,Rahul Tripathi,Prasidh Krishna,Andre Russell
SRH,CSK,0,0,0,8,David Warner,MS Dhoni,61,46,David Warner (BT),Jonny Bairstow (WK),Manish Pandey (BT),Kane Williamson (BT),Priyam Garg (BT),Vijay Shankar (AR),Rashid Khan (BL),Shahbaz Nadeem (BL),Sandeep Sharma (BL),T Natarajan (BL),Khaleel Ahmed (BL),Sam Curran (AR),Faf du Plessis (BT),Shane Watson (AR),Ambati Rayudu (BT),MS Dhoni (WK),Ravindra Jadeja (AR),Dwayne Bravo (AR),Deepak Chahar (BL),Piyush Chawla (AR),Shardul Thakur (BL),Karn Sharma (BL),Kane Williamson,Jonny Bairstow,Sandeep Sharma,T Natarajan,Shane Watson,Ambati Rayudu,Dwayne Bravo,Karn Sharma
DC,RR,1,0,1,8,Shreyas Iyer,Steven Smith,61,29,Prithvi Shaw (BT),Shikhar Dhawan (BT),Ajinkya Rahane (BT),Shreyas Iyer (BT),Marcus Stoinis (BT),Alex Carey (WK),Axar Patel (AR),Ravichandran Ashwin (AR),Tushar Deshpande (BL),Kagiso Rabada (BL),Anrich Nortje (BL),Ben Stokes (AR),Jos Buttler (WK),Steven Smith (BT),Sanju Samson (BT),Robin Uthappa (BT),Riyan Parag (BT),Rahul Tewatia (BL),Jofra Archer (BL),Shreyas Gopal (AR),Jaydev Unadkat (BL),Kartik Tyagi (BL),Shikhar Dhawan,Shreyas Iyer,Anrich Nortje,Tushar Deshpande,Ben Stokes,Robin Uthappa,Jofra Archer,Jaydev Unadkat
RCB,KXIP,10,0,5,28,Virat Kohli,KL Rahul,18,30,Aaron Finch (BT),Devdutt Padikkal (BT),Virat Kohli (BT),Washington Sundar (AR),Shivam Dube (AR),AB de Villiers (WK),Chris Morris (AR),Isuru Udana (AR),Navdeep Saini (BL),Yuzvendra Chahal (BL),Mohammed Siraj (BL),KL Rahul (WK),Mayank Agarwal (BT),Chris Gayle (AR),Nicholas Pooran (BT),Glenn Maxwell (AR),Deepak Hooda (AR),Chris Jordan (BL),Murugan Ashwin (BL),Ravi Bishnoi (BL),Mohammed Shami (BL),Arshdeep Singh (BL),Virat Kohli,Chris Morris,Yuzvendra Chahal,Navdeep Saini,KL Rahul,Chris Gayle,Murugan Ashwin,Mohammed Shami
MI,KKR,4,0,8,29,Rohit Sharma,Eoin Morgan,31,6,Rohit Sharma (BT),Quinton de Kock (WK),Suryakumar Yadav (BT),Hardik Pandya (AR),Ishan Kishan (BT),Kieron Pollard (AR),Krunal Pandya (AR),Rahul Chahar (BL),Trent Boult (BL),Jasprit Bumrah (BL),Nathan Coulter-Nile (BL),Rahul Tripathi (BT),Shubman Gill (BT),Nitish Rana (BT),Dinesh Karthik (WK),Eoin Morgan (BT),Andre Russell (AR),Pat Cummins (BL),Chris Green (AR),Prasidh Krishna (BL),Shivam Mavi (AR),Varun Chakravarthy (BL),Quinton de Kock,Rohit Sharma,Rahul Chahar,Jasprit Bumrah,Pat Cummins,Eoin Morgan,Varun Chakravarthy,Shivam Mavi
RR,RCB,12,0,11,8,Steven Smith,Virat Kohli,61,33,Robin Uthappa (BT),Ben Stokes (AR),Sanju Samson (WK),Steven Smith (BT),Jos Buttler (BT),Rahul Tewatia (BL),Jofra Archer (BL),Riyan Parag (BT),Shreyas Gopal (AR),Jaydev Unadkat (BL),Kartik Tyagi (BL),Devdutt Padikkal (BT),Aaron Finch (BT),Virat Kohli (BT),AB de Villiers (WK),Gurkeerat Singh Mann (BT),Chris Morris (AR),Washington Sundar (AR),Shahbaz Ahmed (AR),Isuru Udana (AR),Navdeep Saini (BL),Yuzvendra Chahal (BL),Steven Smith,Robin Uthappa,Rahul Tewatia,Kartik Tyagi,AB de Villiers,Virat Kohli,Chris Morris,Yuzvendra Chahal
DC,CSK,0,0,1,28,Shreyas Iyer,MS Dhoni,57,44,Prithvi Shaw (BT),Shikhar Dhawan (BT),Ajinkya Rahane (BT),Shreyas Iyer (BT),Marcus Stoinis (BT),Alex Carey (WK),Axar Patel (AR),Ravichandran Ashwin (AR),Tushar Deshpande (BL),Kagiso Rabada (BL),Anrich Nortje (BL),Sam Curran (AR),Faf du Plessis (BT),Shane Watson (AR),Ambati Rayudu (BT),MS Dhoni (WK),Ravindra Jadeja (AR),Kedar Jadhav (AR),Dwayne Bravo (AR),Deepak Chahar (BL),Shardul Thakur (BL),Karn Sharma (BL),Shikhar Dhawan,Marcus Stoinis,Anrich Nortje,Kagiso Rabada,Faf du Plessis,Ambati Rayudu,Deepak Chahar,Dwayne Bravo
SRH,KKR,13,1,14,29,David Warner,Eoin Morgan,53,39,Jonny Bairstow (WK),Kane Williamson (BT),Priyam Garg (BT),David Warner (BT),Manish Pandey (BT),Vijay Shankar (AR),Abdul Samad (BT),Rashid Khan (BL),Sandeep Sharma (BL),Basil Thampi (BL),T Natarajan (BL),Shubman Gill (BT),Rahul Tripathi (BT),Nitish Rana (BT),Andre Russell (AR),Eoin Morgan (BT),Dinesh Karthik (WK),Pat Cummins (BL),Lockie Ferguson (BL),Kuldeep Yadav (BL),Shivam Mavi (AR),Varun Chakravarthy (BL),David Warner,Jonny Bairstow,T Natarajan,Vijay Shankar,Shubman Gill,Eoin Morgan,Lockie Ferguson,Pat Cummins
MI,KXIP,8,0,5,8,Rohit Sharma,KL Rahul,5,29,Rohit Sharma (BT),Quinton de Kock (WK),Suryakumar Yadav (BT),Ishan Kishan (BT),Krunal Pandya (AR),Hardik Pandya (AR),Kieron Pollard (AR),Nathan Coulter-Nile (BL),Rahul Chahar (BL),Trent Boult (BL),Jasprit Bumrah (BL),KL Rahul (WK),Mayank Agarwal (BT),Chris Gayle (AR),Nicholas Pooran (BT),Glenn Maxwell (AR),Deepak Hooda (AR),Chris Jordan (BL),Murugan Ashwin (BL),Ravi Bishnoi (BL),Mohammed Shami (BL),Arshdeep Singh (BL),Quinton de Kock,Kieron Pollard,Jasprit Bumrah,Rahul Chahar,KL Rahul,Nicholas Pooran,Mohammed Shami,Arshdeep Singh
CSK,RR,0,0,13,29,MS Dhoni,Steven Smith,31,6,Sam Curran (AR),Faf du Plessis (BT),Shane Watson (AR),Ambati Rayudu (BT),MS Dhoni (WK),Ravindra Jadeja (AR),Kedar Jadhav (AR),Piyush Chawla (AR),Deepak Chahar (BL),Shardul Thakur (BL),Josh Hazlewood (BL),Ben Stokes (AR),Robin Uthappa (BT),Sanju Samson (WK),Steven Smith (BT),Jos Buttler (BT),Rahul Tewatia (BL),Riyan Parag (BT),Jofra Archer (BL),Shreyas Gopal (AR),Ankit Rajpoot (BL),Kartik Tyagi (BL),Ravindra Jadeja,MS Dhoni,Deepak Chahar,Josh Hazlewood,Jos Buttler,Steven Smith,Shreyas Gopal,Rahul Tewatia
KXIP,DC,1,0,5,8,KL Rahul,Shreyas Iyer,18,14,KL Rahul (WK),Mayank Agarwal (BT),Chris Gayle (AR),Nicholas Pooran (BT),Glenn Maxwell (AR),Deepak Hooda (AR),James Neesham (AR),Murugan Ashwin (BL),Ravi Bishnoi (BL),Mohammed Shami (BL),Arshdeep Singh (BL),Prithvi Shaw (BT),Shikhar Dhawan (BT),Shreyas Iyer (BT),Rishabh Pant (WK),Marcus Stoinis (BT),Shimron Hetmyer (BT),Axar Patel (AR),Ravichandran Ashwin (AR),Kagiso Rabada (BL),Daniel Sams (AR),Tushar Deshpande (BL),Nicholas Pooran,Glenn Maxwell,Mohammed Shami,James Neesham,Shikhar Dhawan,Rishabh Pant,Kagiso Rabada,Axar Patel
KKR,RCB,4,0,11,29,Eoin Morgan,Virat Kohli,53,20,Shubman Gill (BT),Rahul Tripathi (BT),Nitish Rana (BT),Tom Banton (BT),Dinesh Karthik (WK),Eoin Morgan (BT),Pat Cummins (BL),Kuldeep Yadav (BL),Lockie Ferguson (BL),Prasidh Krishna (BL),Varun Chakravarthy (BL),Devdutt Padikkal (BT),Aaron Finch (BT),Gurkeerat Singh Mann (BT),Virat Kohli (BT),AB de Villiers (WK),Chris Morris (AR),Washington Sundar (AR),Isuru Udana (AR),Navdeep Saini (BL),Yuzvendra Chahal (BL),Mohammed Siraj (BL),Eoin Morgan,Lockie Ferguson,Lockie Ferguson,Pat Cummins,Devdutt Padikkal,Gurkeerat Singh Mann,Mohammed Siraj,Yuzvendra Chahal
RR,SRH,13,1,14,8,Steven Smith,David Warner,5,18,Robin Uthappa (BT),Ben Stokes (AR),Sanju Samson (WK),Jos Buttler (BT),Steven Smith (BT),Riyan Parag (BT),Rahul Tewatia (BL),Jofra Archer (BL),Shreyas Gopal (AR),Ankit Rajpoot (BL),Kartik Tyagi (BL),David Warner (BT),Jonny Bairstow (WK),Manish Pandey (BT),Vijay Shankar (AR),Priyam Garg (BT),Abdul Samad (BT),Jason Holder (AR),Rashid Khan (BL),Sandeep Sharma (BL),T Natarajan (BL),Shahbaz Nadeem (BL),Sanju Samson,Ben Stokes,Jofra Archer,Rahul Tewatia,Manish Pandey,Vijay Shankar,Jason Holder,Vijay Shankar
CSK,MI,8,1,8,28,MS Dhoni,Kieron Pollard,18,42,Ruturaj Gaikwad (BT),Faf du Plessis (BT),Ambati Rayudu (BT),Narayan Jagadeesan (BT),MS Dhoni (WK),Ravindra Jadeja (AR),Sam Curran (AR),Deepak Chahar (BL),Shardul Thakur (BL),Imran Tahir (BL),Josh Hazlewood (BL),Quinton de Kock (WK),Ishan Kishan (BT),Suryakumar Yadav (BT),Saurabh Tiwary (BT),Krunal Pandya (AR),Hardik Pandya (AR),Kieron Pollard (AR),Nathan Coulter-Nile (BL),Rahul Chahar (BL),Trent Boult (BL),Jasprit Bumrah (BL),Sam Curran,MS Dhoni,Imran Tahir,Deepak Chahar,Ishan Kishan,Quinton de Kock,Trent Boult,Rahul Chahar
KKR,DC,1,1,4,29,Eoin Morgan,Shreyas Iyer,53,16,Shubman Gill (BT),Nitish Rana (BT),Rahul Tripathi (BT),Dinesh Karthik (WK),Sunil Narine (AR),Eoin Morgan (BT),Pat Cummins (BL),Lockie Ferguson (BL),Kamlesh Nagarkoti (BL),Prasidh Krishna (BL),Varun Chakravarthy (BL),Ajinkya Rahane (BT),Shikhar Dhawan (BT),Shreyas Iyer (BT),Rishabh Pant (WK),Shimron Hetmyer (BT),Marcus Stoinis (BT),Axar Patel (AR),Kagiso Rabada (BL),Ravichandran Ashwin (AR),Tushar Deshpande (BL),Anrich Nortje (BL),Nitish Rana,Sunil Narine,Varun Chakravarthy,Pat Cummins,Shreyas Iyer,Rishabh Pant,Anrich Nortje,Kagiso Rabada
KXIP,SRH,13,1,5,8,KL Rahul,David Warner,61,36,KL Rahul (WK),Mandeep Singh (AR),Chris Gayle (AR),Nicholas Pooran (BT),Glenn Maxwell (AR),Deepak Hooda (AR),Chris Jordan (BL),Murugan Ashwin (BL),Ravi Bishnoi (BL),Mohammed Shami (BL),Arshdeep Singh (BL),David Warner (BT),Jonny Bairstow (WK),Manish Pandey (BT),Abdul Samad (BT),Vijay Shankar (AR),Jason Holder (AR),Priyam Garg (BT),Rashid Khan (BL),Sandeep Sharma (BL),T Natarajan (BL),Khaleel Ahmed (BL),Nicholas Pooran,KL Rahul,Chris Jordan,Arshdeep Singh,David Warner,Vijay Shankar,Rashid Khan,Jason Holder
RCB,CSK,10,0,0,8,Virat Kohli,MS Dhoni,57,36,Devdutt Padikkal (BT),Aaron Finch (BT),Virat Kohli (BT),AB de Villiers (WK),Moeen Ali (AR),Chris Morris (AR),Gurkeerat Singh Mann (BT),Washington Sundar (AR),Navdeep Saini (BL),Yuzvendra Chahal (BL),Mohammed Siraj (BL),Ruturaj Gaikwad (BT),Faf du Plessis (BT),Ambati Rayudu (BT),MS Dhoni (WK),Narayan Jagadeesan (BT),Ravindra Jadeja (AR),Sam Curran (AR),Mitchell Santner (AR),Deepak Chahar (BL),Imran Tahir (BL),Monu Kumar (AR),Virat Kohli,AB de Villiers,Yuzvendra Chahal,Chris Morris,Ruturaj Gaikwad,Ambati Rayudu,Sam Curran,Deepak Chahar
RR,MI,8,0,13,29,Steven Smith,Kieron Pollard,31,18,Robin Uthappa (BT),Ben Stokes (AR),Steven Smith (BT),Sanju Samson (WK),Jos Buttler (BT),Riyan Parag (BT),Rahul Tewatia (BL),Jofra Archer (BL),Shreyas Gopal (AR),Ankit Rajpoot (BL),Kartik Tyagi (BL),Ishan Kishan (BT),Quinton de Kock (WK),Suryakumar Yadav (BT),Saurabh Tiwary (BT),Kieron Pollard (AR),Hardik Pandya (AR),Krunal Pandya (AR),James Pattinson (BL),Rahul Chahar (BL),Trent Boult (BL),Jasprit Bumrah (BL),Ben Stokes,Sanju Samson,Shreyas Gopal,Jofra Archer,Hardik Pandya,Suryakumar Yadav,James Pattinson,Kieron Pollard
KKR,KXIP,5,1,5,28,Eoin Morgan,KL Rahul,57,18,Shubman Gill (BT),Nitish Rana (BT),Rahul Tripathi (BT),Dinesh Karthik (WK),Eoin Morgan (BT),Sunil Narine (AR),Kamlesh Nagarkoti (BL),Pat Cummins (BL),Lockie Ferguson (BL),Varun Chakravarthy (BL),Prasidh Krishna (BL),KL Rahul (WK),Mandeep Singh (AR),Chris Gayle (AR),Nicholas Pooran (BT),Glenn Maxwell (AR),Deepak Hooda (AR),Chris Jordan (BL),Murugan Ashwin (BL),Ravi Bishnoi (BL),Mohammed Shami (BL),Arshdeep Singh (BL),Shubman Gill,Eoin Morgan,Lockie Ferguson,Varun Chakravarthy,Mandeep Singh,Chris Gayle,Mohammed Shami,Ravi Bishnoi
SRH,DC,1,1,14,8,David Warner,Shreyas Iyer,5,39,David Warner (BT),Wriddhiman Saha (WK),Manish Pandey (BT),Kane Williamson (BT),Vijay Shankar (AR),Abdul Samad (BT),Jason Holder (AR),Rashid Khan (BL),Sandeep Sharma (BL),T Natarajan (BL),Shahbaz Nadeem (BL),Ajinkya Rahane (BT),Shikhar Dhawan (BT),Marcus Stoinis (BT),Shimron Hetmyer (BT),Rishabh Pant (WK),Shreyas Iyer (BT),Axar Patel (AR),Kagiso Rabada (BL),Ravichandran Ashwin (AR),Tushar Deshpande (BL),Anrich Nortje (BL),Wriddhiman Saha,David Warner,Rashid Khan,T Natarajan,Rishabh Pant,Ajinkya Rahane,Anrich Nortje,Ravichandran Ashwin
MI,RCB,8,1,8,29,Kieron Pollard,Virat Kohli,31,25,Quinton de Kock (WK),Ishan Kishan (BT),Suryakumar Yadav (BT),Saurabh Tiwary (BT),Krunal Pandya (AR),Hardik Pandya (AR),Kieron Pollard (AR),James Pattinson (BL),Rahul Chahar (BL),Trent Boult (BL),Jasprit Bumrah (BL),Josh Philippe (BT),Devdutt Padikkal (BT),Virat Kohli (BT),AB de Villiers (WK),Shivam Dube (AR),Chris Morris (AR),Gurkeerat Singh Mann (BT),Washington Sundar (AR),Yuzvendra Chahal (BL),Mohammed Siraj (BL),Dale Steyn (BL),Suryakumar Yadav,Ishan Kishan,Jasprit Bumrah,Kieron Pollard,Devdutt Padikkal,Josh Philippe,Mohammed Siraj,Yuzvendra Chahal
CSK,KKR,0,1,0,8,MS Dhoni,Eoin Morgan,18,18,Shane Watson (AR),Ruturaj Gaikwad (BT),Ambati Rayudu (BT),MS Dhoni (WK),Sam Curran (AR),Ravindra Jadeja (AR),Narayan Jagadeesan (BT),Mitchell Santner (AR),Deepak Chahar (BL),Karn Sharma (BL),Lungi Ngidi (BL),Shubman Gill (BT),Nitish Rana (BT),Sunil Narine (AR),Rinku Singh (BT),Eoin Morgan (BT),Dinesh Karthik (WK),Rahul Tripathi (BT),Kamlesh Nagarkoti (BL),Pat Cummins (BL),Lockie Ferguson (BL),Varun Chakravarthy (BL),Ruturaj Gaikwad,Ambati Rayudu,Lungi Ngidi,Ravindra Jadeja,Nitish Rana,Shubman Gill,Varun Chakravarthy,Pat Cummins
KXIP,RR,12,1,13,29,KL Rahul,Steven Smith,53,29,KL Rahul (WK),Mandeep Singh (AR),Chris Gayle (AR),Nicholas Pooran (BT),Glenn Maxwell (AR),Deepak Hooda (AR),Chris Jordan (BL),Murugan Ashwin (BL),Ravi Bishnoi (BL),Mohammed Shami (BL),Arshdeep Singh (BL),Robin Uthappa (BT),Ben Stokes (AR),Sanju Samson (WK),Steven Smith (BT),Jos Buttler (BT),Riyan Parag (BT),Rahul Tewatia (BL),Jofra Archer (BL),Shreyas Gopal (AR),Kartik Tyagi (BL),Varun Aaron (BL),Chris Gayle,KL Rahul,Murugan Ashwin,Chris Jordan,Ben Stokes,Sanju Samson,Jofra Archer,Ben Stokes
DC,MI,8,1,8,8,Shreyas Iyer,Kieron Pollard,5,17,Prithvi Shaw (BT),Shikhar Dhawan (BT),Shreyas Iyer (BT),Rishabh Pant (WK),Marcus Stoinis (BT),Shimron Hetmyer (BT),Harshal Patel (BL),Ravichandran Ashwin (AR),Praveen Dubey (BL),Kagiso Rabada (BL),Anrich Nortje (BL),Ishan Kishan (BT),Quinton de Kock (WK),Suryakumar Yadav (BT),Saurabh Tiwary (BT),Krunal Pandya (AR),Kieron Pollard (AR),Nathan Coulter-Nile (BL),Jayant Yadav (BL),Rahul Chahar (BL),Trent Boult (BL),Jasprit Bumrah (BL),Shreyas Iyer,Rishabh Pant,Anrich Nortje,Marcus Stoinis,Ishan Kishan,Quinton de Kock,Jasprit Bumrah,Trent Boult
RCB,SRH,13,1,14,28,Virat Kohli,David Warner,57,17,Josh Philippe (BT),Devdutt Padikkal (BT),Virat Kohli (BT),AB de Villiers (WK),Washington Sundar (AR),Gurkeerat Singh Mann (BT),Chris Morris (AR),Isuru Udana (AR),Mohammed Siraj (BL),Navdeep Saini (BL),Yuzvendra Chahal (BL),David Warner (BT),Wriddhiman Saha (WK),Manish Pandey (BT),Kane Williamson (BT),Abhishek Sharma (BL),Jason Holder (AR),Abdul Samad (BT),Rashid Khan (BL),Shahbaz Nadeem (BL),Sandeep Sharma (BL),T Natarajan (BL),Josh Philippe,AB de Villiers,Yuzvendra Chahal,Isuru Udana,Wriddhiman Saha,Jason Holder,Sandeep Sharma,Jason Holder
CSK,KXIP,0,1,0,29,MS Dhoni,KL Rahul,53,12,Ruturaj Gaikwad (BT),Faf du Plessis (BT),Ambati Rayudu (BT),MS Dhoni (WK),Narayan Jagadeesan (BT),Sam Curran (AR),Ravindra Jadeja (AR),Deepak Chahar (BL),Shardul Thakur (BL),Lungi Ngidi (BL),Imran Tahir (BL),KL Rahul (WK),Mayank Agarwal (BT),Chris Gayle (AR),Nicholas Pooran (BT),Mandeep Singh (AR),Deepak Hooda (AR),James Neesham (AR),Chris Jordan (BL),Murugan Ashwin (BL),Ravi Bishnoi (BL),Mohammed Shami (BL),Ruturaj Gaikwad,Faf du Plessis,Lungi Ngidi,Ravindra Jadeja,Deepak Hooda,KL Rahul,Chris Jordan,Murugan Ashwin
